features.0.0.weight,features.0.1.weight,features.0.1.bias,features.1.conv.0.weight,features.1.conv.1.weight,features.1.conv.1.bias,features.1.conv.3.weight,features.1.conv.3.bias,features.1.conv.3.mask,features.1.conv.4.weight,features.1.conv.4.bias,features.2.conv.0.weight,features.2.conv.0.bias,features.2.conv.0.mask,features.2.conv.1.weight,features.2.conv.1.bias,features.2.conv.3.weight,features.2.conv.4.weight,features.2.conv.4.bias,features.2.conv.6.weight
8.6566244e-05,0.0,0.0,-0.19725125,0.0,0.0,0.00089421065,0.0,1.0,0.0,0.0,0.28177142,0.0,1.0,0.4986711,0.015674617,0.19450617,0.33488095,0.15652458,0.18863168
-0.0015057112,0.0,0.0,0.5245193,0.0,0.0,0.054679934,0.0,1.0,0.0,0.0,-0.43330714,0.0,1.0,0.4351567,0.10881901,-0.20553914,0.28307542,0.035418935,-0.20512079
-0.0058571384,0.0,0.0,0.021912357,0.0,0.0,-0.14273624,0.0,1.0,0.0,0.0,0.27590916,0.0,1.0,0.12951477,0.40822947,-0.0010884955,0.36675745,0.00039194428,0.04765691
-0.006357517,0.0,0.0,0.22677784,0.0,0.0,0.07285805,0.0,1.0,0.0,0.0,-0.31070048,0.0,1.0,0.51843905,0.004480112,0.094599344,0.23215982,1.1791178,-0.15527174
0.006594743,0.0,0.0,-0.61957234,0.0,0.0,0.04096308,0.0,1.0,0.0,0.0,0.016867792,0.0,1.0,0.5690987,-0.034127004,0.12848364,0.47521442,-0.12396686,0.20654128
0.0023811439,0.0,0.0,-0.7977551,0.0,0.0,-0.2739857,0.0,1.0,0.0,0.0,-0.31824613,0.0,1.0,0.57897574,0.16348718,0.055838607,0.2208072,0.2243028,-0.18377809
0.005231409,0.0,0.0,-0.49865538,0.0,0.0,-0.32110158,0.0,1.0,0.0,0.0,-0.07649105,0.0,1.0,0.29554796,0.43898177,0.21416077,0.36759248,-0.011095688,0.17890441
-0.020445665,0.0,0.0,1.0847605,0.0,0.0,0.011180551,0.0,1.0,0.0,0.0,0.049397584,0.0,1.0,0.30719155,0.38140994,0.34215093,0.18981679,0.3317855,0.05313794
-0.029179458,0.0,0.0,0.8258885,0.0,0.0,0.025802167,0.0,1.0,0.0,0.0,0.13339761,0.0,1.0,0.5529004,0.07397893,0.17631048,0.5594873,-0.0653044,0.15146315
0.0040038023,0.0,0.0,-0.7541286,0.0,0.0,-0.06726011,0.0,1.0,0.0,0.0,0.39202276,0.0,1.0,0.447546,-0.17209889,0.094093464,0.19588307,0.18850781,-0.07397491
0.00030849501,0.0,0.0,0.922691,0.0,0.0,0.0056824023,0.0,1.0,0.0,0.0,-0.32983917,0.0,1.0,0.43118197,0.057374574,0.24098583,0.17828879,0.18456918,-0.08891872
0.007401575,0.0,0.0,-0.041844517,0.0,0.0,-0.0198698,0.0,1.0,0.0,0.0,0.2166442,0.0,1.0,0.5795527,-0.04777902,0.1417705,0.27790245,0.26456517,0.24665569
-0.022598647,0.0,0.0,-0.0117512485,0.0,0.0,-0.00024615735,0.0,1.0,0.0,0.0,0.1856691,0.0,1.0,0.40004948,0.13178292,-0.06140135,0.26945975,0.06943023,0.21262279
-8.882368e-05,0.0,0.0,-0.036239848,0.0,0.0,0.2973195,0.0,1.0,0.0,0.0,0.010460447,0.0,1.0,0.27973628,0.32368764,0.014882158,0.29347256,-0.008095328,0.004851816
0.0060518715,0.0,0.0,0.016255606,0.0,0.0,0.009460421,0.0,1.0,0.0,0.0,0.03356707,0.0,1.0,0.4268102,0.3075791,0.030922012,0.24275775,0.32199338,-0.093660444
0.013327285,0.0,0.0,0.01714589,0.0,0.0,0.07469101,0.0,1.0,0.0,0.0,-0.45025867,0.0,1.0,0.103372514,0.002217411,-0.3016913,0.068703204,-0.07202737,-0.0006071046
-0.26691055,0.0,0.0,-0.78624076,0.0,0.0,0.0019419445,0.0,1.0,0.0,0.0,-0.06711003,0.0,1.0,0.48487034,0.13273916,0.37509844,0.27071133,0.018847449,0.084053524
0.2332441,0.0,0.0,-0.0517588,0.0,0.0,0.051731262,0.0,1.0,0.0,0.0,0.26358667,0.0,1.0,0.2724983,0.38848644,-0.013459016,0.35767022,-0.0050952304,-0.048890233
