Identifier,Evaluation,Tricked,2-Norm for Adv.-Image,Class,filename,match_count
EOTPGD,7337,True,9.774306297302246,146,SCP Default.csv,
EOTPGD,49287,True,9.915224075317385,985,SCP Default.csv,
EOTPGD,1991,True,9.652073860168455,39,SCP Default.csv,
EOTPGD,885,True,9.322282791137695,17,SCP Default.csv,
EOTPGD,2223,True,9.1141996383667,44,SCP Default.csv,
EOTPGD,49943,True,9.097966194152832,998,SCP Default.csv,
EOTPGD,42010,True,9.613362312316896,840,SCP Default.csv,
EOTPGD,819,True,9.700997352600098,16,SCP Default.csv,
EOTPGD,15923,True,9.172799110412598,318,SCP Default.csv,
EOTPGD,21678,True,9.809000968933104,433,SCP Default.csv,
EOTPGD,26085,True,9.653568267822266,521,SCP Default.csv,
EOTPGD,49211,True,9.575544357299805,984,SCP Default.csv,
EOTPGD,12664,True,9.56773281097412,253,SCP Default.csv,
EOTPGD,34350,True,9.92594051361084,687,SCP Default.csv,
EOTPGD,19658,True,10.056875228881836,393,SCP Default.csv,
APGD,29785,True,10.051565170288086,595,SCP Default.csv,
APGD,46751,True,9.339216232299805,935,SCP Default.csv,
APGD,14162,True,9.533163070678713,283,SCP Default.csv,
APGD,30471,True,9.90820026397705,609,SCP Default.csv,
APGD,7337,True,10.098599433898926,146,SCP Default.csv,
APGD,49287,True,10.06418800354004,985,SCP Default.csv,
APGD,21678,True,9.926544189453123,433,SCP Default.csv,
APGD,29785,True,8.134167671203613,595,SCP Default.csv,
APGD,46751,True,8.787071228027344,935,SCP Default.csv,
APGD,14162,True,9.105388641357422,283,SCP Default.csv,
APGD,30471,True,8.823607444763184,609,SCP Default.csv,
APGD,49287,True,7.977574348449707,985,SCP Default.csv,
APGD,21678,True,8.224164962768555,433,SCP Default.csv,
APGDT,29785,True,7.864409923553467,595,SCP Default.csv,
APGDT,46751,True,7.938338279724121,935,SCP Default.csv,
APGDT,14162,True,8.661036491394043,283,SCP Default.csv,
APGDT,30471,True,8.054579734802246,609,SCP Default.csv,
APGDT,7337,True,8.044198036193848,146,SCP Default.csv,
