Identifier,Evaluation,True,2-Norm for Adv.-Image,Class
PGD,43743,fail,8.11083698272705,189
PGD,49511,fail,7.489928245544434,189
PGD,34107,fail,8.298316955566406,189
PGD,33305,fail,8.431938171386719,189
PGD,48828,fail,8.076632499694824,189
PGD,2924,fail,7.798023700714111,189
PGD,28008,fail,8.080076217651367,189
PGD,28114,fail,8.566910743713379,189
PGD,8119,fail,7.953551292419434,189
PGD,33152,True,0.0,663
PGD,40730,fail,8.388482093811035,663
PGD,2159,fail,8.288498878479004,663
PGD,32546,fail,8.361908912658691,663
PGD,4808,fail,7.921139240264893,663
PGD,27998,True,0.0,559
PGD,17272,True,0.0,345
PGD,40825,fail,8.059789657592773,345
PGD,2761,True,0.0,55
PGD,2563,True,0.0,51
PGD,35947,fail,8.071624755859375,51
PGD,37278,True,0.0,745
PGD,43848,fail,8.15804386138916,745
PGD,3248,True,0.0,64
PGD,20921,True,0.0,418
PGD,24431,True,0.0,488
PGD,14059,fail,7.969135761260986,488
PGD,33496,fail,7.84154748916626,488
PGD,15964,fail,8.333645820617676,488
PGD,47570,fail,8.00521469116211,488
PGD,29773,fail,8.180817604064941,488
PGD,21642,fail,8.036484718322754,488
PGD,16284,fail,8.167593955993652,488
PGD,27189,fail,8.423652648925781,488
PGD,49987,fail,7.990870952606201,488
PGD,22511,fail,8.375091552734375,488
PGD,28139,fail,7.53992223739624,488
PGD,31369,fail,8.220233917236328,488
PGD,3906,fail,7.7143731117248535,488
PGD,2192,fail,8.161256790161133,488
PGD,48314,fail,8.333475112915039,488
PGD,45164,fail,7.682749271392822,488
PGD,21809,fail,8.242323875427246,488
PGD,13962,fail,7.895656108856201,488
PGD,34443,fail,8.273026466369629,488
PGD,4011,fail,7.799796104431152,488
PGD,7333,fail,8.323944091796875,488
PGD,49302,fail,8.10511589050293,488
PGD,6885,True,0.0,137
PGD,15069,fail,7.878865718841553,137
PGD,46986,fail,8.364662170410156,137
PGD,41406,fail,8.256444931030273,137
PGD,11000,fail,8.140807151794434,137
PGD,37656,True,0.0,753
PGD,26208,fail,7.998434543609619,753
PGD,9706,True,0.0,194
PGD,45263,True,0.0,905
PGD,3603,fail,8.008089065551758,905
PGD,3654,fail,7.658947944641113,905
PGD,44661,fail,8.031468391418457,905
PGD,27254,fail,8.47480583190918,905
PGD,9615,fail,8.270660400390625,905
PGD,25599,fail,8.03768253326416,905
PGD,47153,fail,7.89821720123291,905
PGD,30837,fail,8.04663372039795,905
PGD,46063,fail,8.45795726776123,905
PGD,41403,fail,8.523313522338867,905
PGD,7809,fail,8.301502227783203,905
PGD,47634,True,0.0,952
PGD,26125,fail,8.244089126586914,952
PGD,35288,True,0.0,705
PGD,38587,fail,8.140434265136719,705
PGD,41470,fail,8.143892288208008,705
PGD,39989,fail,8.250082015991211,705
PGD,42106,fail,8.100872039794922,705
PGD,40708,True,0.0,814
PGD,31268,fail,8.223782539367676,814
OnePixel,7048,False,0.9653969407081604,140
OnePixel,30299,True,0.0,605
OnePixel,36986,False,0.8035184741020203,739
OnePixel,18212,False,0.7895644307136536,364
OnePixel,5909,False,0.5703895688056946,118
OnePixel,42395,False,0.8390191793441772,847
OnePixel,5343,True,0.0,106
OnePixel,21071,True,0.0,421
OnePixel,24538,False,0.9332048296928406,490
OnePixel,13170,False,0.7324809432029724,263
OnePixel,22452,False,0.768179714679718,449
OnePixel,14090,False,0.7900393009185791,281
